Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-01_S7.metabat.40	c__Gammaproteobacteria (UID4444)	263	505	231	89.72	1.65	16.67	3234979	0	218	218	25500	25500	14839	14839	109882	109882	42.9	1.41	89.81	11	2977	88	411	6	0	0	0
20082D-01-01_S7.metabat.5	k__Bacteria (UID2569)	434	278	186	88.98	2.87	13.64	2670271	0	319	319	12405	12405	8370	8370	50204	50204	36.8	1.12	93.75	11	2530	25	237	13	3	0	0
20082D-01-02_S8.metabat.10	o__Rhodospirillales (UID3754)	63	336	201	90.55	1.24	100.00	4130800	0	604	604	9374	9374	6839	6839	70304	70304	53.5	1.65	88.64	11	4240	72	261	3	0	0	0
20082D-01-02_S8.metabat.15	c__Gammaproteobacteria (UID4443)	356	451	270	69.51	2.21	12.50	2274399	0	562	562	4536	4536	4046	4046	16360	16360	51.9	1.82	91.50	11	2461	134	309	8	0	0	0
20082D-01-02_S8.metabat.16	c__Gammaproteobacteria (UID4443)	356	448	269	95.55	0.00	0.00	3328805	0	101	101	59634	59634	32958	32958	165806	165806	65.3	1.89	91.15	11	3143	63	385	0	0	0	0
20082D-01-02_S8.metabat.18	f__Rhodobacteraceae (UID3360)	56	582	313	98.24	0.05	100.00	3394679	0	47	47	171255	171255	72227	72227	448962	448962	60.5	2.18	90.95	11	3297	23	558	1	0	0	0
20082D-01-02_S8.metabat.19	c__Alphaproteobacteria (UID3305)	564	349	230	96.02	0.87	0.00	4709861	0	404	404	17553	17553	11658	11658	59747	59747	60.5	2.06	90.72	11	4673	25	321	3	0	0	0
20082D-01-02_S8.metabat.2	c__Gammaproteobacteria (UID4761)	52	693	297	90.97	1.58	50.00	4098838	0	308	308	29857	29857	13307	13307	122079	122079	43.5	1.79	88.76	11	3755	62	625	6	0	0	0
20082D-01-02_S8.metabat.22	k__Bacteria (UID2569)	434	277	185	68.57	1.89	25.00	3047955	0	900	900	3767	3767	3386	3386	13961	13961	37.3	1.97	87.36	11	3306	83	190	4	0	0	0
20082D-01-02_S8.metabat.23	s__algicola (UID2847)	33	496	263	99.24	0.29	0.00	3153257	0	41	41	209222	209222	76908	76908	403732	403732	33.5	1.94	91.14	11	2888	2	492	2	0	0	0
20082D-01-02_S8.metabat.25	f__Rhodobacteraceae (UID3356)	67	615	329	93.01	4.93	12.00	2811807	0	412	412	8869	8869	6824	6824	48461	48461	54.7	1.59	92.15	11	3123	53	537	25	0	0	0
20082D-01-02_S8.metabat.32	c__Gammaproteobacteria (UID4444)	263	506	232	99.15	0.50	50.00	4338764	0	66	66	102389	102389	65738	65738	284928	284928	57.2	2.13	91.89	11	4013	49	455	2	0	0	0
20082D-01-02_S8.metabat.33	s__algicola (UID2846)	47	571	303	99.01	0.55	33.33	4156234	0	151	151	54334	54334	27524	27524	147151	147151	32.5	1.47	91.10	11	3733	6	562	3	0	0	0
20082D-01-02_S8.metabat.40	f__Rhodobacteraceae (UID3361)	46	654	332	82.24	5.10	14.63	4132406	0	1061	1061	4608	4608	3894	3894	23975	23975	63.3	2.63	88.74	11	4622	105	512	35	2	0	0
20082D-01-02_S8.metabat.6	c__Gammaproteobacteria (UID4444)	263	505	231	98.41	1.78	0.00	3216541	0	53	53	216980	216980	60689	60689	383206	383206	42.5	1.24	89.74	11	3020	25	472	8	0	0	0
20082D-01-02_S8.metabat.7	c__Alphaproteobacteria (UID3422)	26	529	308	99.51	0.81	0.00	3605575	0	30	30	340488	340488	120185	120185	884900	884900	60.1	1.39	91.59	11	3455	2	524	3	0	0	0
20082D-01-02_S8.metabat.8	o__Sphingomonadales (UID3310)	26	569	293	99.54	0.90	25.00	3648304	0	35	35	191835	191835	104237	104237	536006	536006	56.8	1.33	90.57	11	3444	2	563	4	0	0	0
20082D-01-02_S8.metabat.9	c__Gammaproteobacteria (UID4444)	263	506	232	85.58	1.63	62.50	3372267	0	632	632	6824	6824	5335	5335	38057	38057	57.9	1.92	91.97	11	3583	119	379	8	0	0	0
20082D-01-03_S9.metabat.1	k__Bacteria (UID203)	5449	104	58	77.59	0.00	0.00	2078753	0	183	183	17888	17888	11359	11359	81530	81530	45.2	1.32	90.88	11	2042	51	53	0	0	0	0
20082D-01-03_S9.metabat.10	k__Bacteria (UID1453)	901	171	117	97.86	3.25	0.00	2567159	0	84	84	57023	57023	30561	30561	392828	392828	47.5	1.40	91.81	11	2565	3	161	7	0	0	0
20082D-01-03_S9.metabat.19	k__Bacteria (UID3187)	2258	190	119	74.41	0.00	0.00	1575687	0	323	323	5682	5682	4878	4878	18663	18663	42.6	1.88	91.35	11	1536	46	144	0	0	0	0
20082D-01-03_S9.metabat.2	k__Bacteria (UID203)	5449	104	58	62.07	0.00	0.00	1842417	0	96	96	36819	36819	19191	19191	102647	102647	37.1	1.30	93.07	11	1781	62	42	0	0	0	0
20082D-01-03_S9.metabat.22	c__Gammaproteobacteria (UID4267)	119	544	284	67.05	3.18	0.00	1742923	0	106	106	28211	28211	16442	16442	82924	82924	37.3	1.35	94.19	11	1639	178	351	15	0	0	0
20082D-01-03_S9.metabat.23	p__Euryarchaeota (UID3)	148	188	125	74.13	0.40	0.00	1422129	0	43	43	57732	57732	33072	33072	132675	132675	35.8	0.86	94.73	11	1240	62	125	1	0	0	0
20082D-01-03_S9.metabat.25	k__Bacteria (UID203)	5449	104	58	62.24	1.72	100.00	2087793	0	232	232	12559	12559	8999	8999	56182	56182	47.5	1.31	88.29	11	1976	60	43	1	0	0	0
20082D-01-03_S9.metabat.27	o__Cytophagales (UID2936)	47	454	336	75.59	1.79	60.00	2085404	0	465	465	5304	5304	4484	4484	22083	22083	39.1	1.65	92.71	11	2114	109	337	7	1	0	0
20082D-01-03_S9.metabat.29	c__Gammaproteobacteria (UID4444)	263	503	230	94.49	0.80	0.00	3027129	0	182	182	27515	27515	16632	16632	107087	107087	52.3	1.48	89.67	11	2881	24	475	4	0	0	0
20082D-01-03_S9.metabat.3	k__Archaea (UID2)	207	145	103	79.29	2.43	0.00	962277	0	236	236	4850	4850	4077	4077	37168	37168	31.2	2.16	91.06	11	1343	36	105	4	0	0	0
20082D-01-03_S9.metabat.33	k__Bacteria (UID2495)	2993	147	91	90.81	1.40	0.00	2686368	0	219	219	19877	19877	12266	12266	63146	63146	38.7	1.52	91.10	11	2524	12	130	5	0	0	0
20082D-01-03_S9.metabat.4	o__Actinomycetales (UID1663)	488	310	185	97.63	0.00	0.00	2110368	0	8	8	464777	464777	263796	263796	761139	761139	55.0	0.84	92.68	11	1980	6	304	0	0	0	0
20082D-01-03_S9.metabat.41	s__algicola (UID2846)	47	571	303	81.74	1.05	0.00	1495793	0	119	119	22612	22612	12569	12569	80629	80629	30.0	1.39	95.30	11	1419	119	447	5	0	0	0
20082D-01-03_S9.metabat.42	k__Bacteria (UID3187)	2258	190	119	88.74	2.06	25.00	2176814	0	426	426	5984	5984	5109	5109	38494	38494	41.0	2.12	89.78	11	2151	15	171	4	0	0	0
20082D-01-03_S9.metabat.6	f__Rhodobacteraceae (UID3356)	67	615	329	77.93	0.79	0.00	1799181	0	153	153	18517	18517	11759	11759	66061	66061	44.0	1.51	91.57	11	1787	127	481	7	0	0	0
20082D-01-04_S10.metabat.1	k__Bacteria (UID2569)	434	278	186	53.92	1.42	28.57	773658	0	239	239	3562	3562	3237	3237	11814	11814	31.4	1.34	96.02	11	851	131	140	7	0	0	0
20082D-01-04_S10.metabat.10	f__Rhodobacteraceae (UID3356)	67	615	329	75.75	1.22	60.00	1635736	0	126	126	21258	21258	12982	12982	72267	72267	44.0	1.58	91.80	11	1620	141	469	5	0	0	0
20082D-01-04_S10.metabat.11	k__Bacteria (UID203)	5449	104	58	61.72	0.00	0.00	1694726	0	155	155	17054	17054	10933	10933	41720	41720	45.1	1.28	91.47	11	1651	61	43	0	0	0	0
20082D-01-04_S10.metabat.14	f__Rhodobacteraceae (UID3356)	67	617	330	79.71	4.90	6.06	2004111	0	95	95	35689	35689	21095	21095	83703	83703	38.4	1.16	91.74	11	1936	121	465	30	1	0	0
20082D-01-04_S10.metabat.16	s__algicola (UID2846)	47	571	303	79.44	2.22	9.09	1526079	0	127	127	22165	22165	12016	12016	68958	68958	29.9	1.52	95.32	11	1454	128	432	11	0	0	0
20082D-01-04_S10.metabat.20	c__Gammaproteobacteria (UID4267)	119	544	284	76.18	2.84	0.00	1997157	0	141	141	31094	31094	14164	14164	129770	129770	37.1	1.70	93.94	11	1888	130	399	14	1	0	0
20082D-01-04_S10.metabat.22	k__Bacteria (UID2495)	2993	147	91	86.41	4.95	20.00	2593623	0	259	259	14573	14573	10013	10013	63156	63156	38.7	1.53	91.44	11	2440	47	95	5	0	0	0
20082D-01-04_S10.metabat.23	k__Archaea (UID2)	207	145	103	78.88	5.83	14.29	894879	0	254	254	3926	3926	3523	3523	16658	16658	31.0	1.71	91.13	11	1268	27	113	4	1	0	0
20082D-01-04_S10.metabat.27	k__Bacteria (UID1453)	901	171	117	97.44	1.71	0.00	2600255	0	42	42	153800	153800	61910	61910	383669	383669	47.5	1.42	91.81	11	2558	3	166	2	0	0	0
20082D-01-04_S10.metabat.28	p__Euryarchaeota (UID3)	148	188	125	81.73	5.60	0.00	1563515	0	65	65	54124	54124	24054	24054	131712	131712	35.9	1.35	94.50	11	1395	26	155	7	0	0	0
20082D-01-04_S10.metabat.29	c__Gammaproteobacteria (UID4444)	263	503	230	94.71	0.54	0.00	2900776	0	163	163	30840	30840	17796	17796	107452	107452	52.3	1.55	89.85	11	2773	39	461	3	0	0	0
20082D-01-04_S10.metabat.32	k__Bacteria (UID203)	5449	104	58	67.24	0.00	0.00	2007043	0	169	169	19823	19823	11875	11875	83506	83506	45.2	1.39	91.02	11	1978	58	46	0	0	0	0
20082D-01-04_S10.metabat.34	k__Bacteria (UID203)	5449	104	58	57.76	0.00	0.00	2110601	0	224	224	12294	12294	9422	9422	44235	44235	47.4	1.38	87.64	11	1983	65	39	0	0	0	0
20082D-01-04_S10.metabat.38	k__Bacteria (UID203)	5449	104	58	50.00	5.17	33.33	2111725	0	312	312	7843	7843	6768	6768	41755	41755	45.5	1.48	90.79	11	2099	71	30	3	0	0	0
20082D-01-04_S10.metabat.39	k__Bacteria (UID3187)	2258	190	119	88.04	0.00	0.00	2084968	0	377	377	6920	6920	5530	5530	27547	27547	41.1	2.01	90.09	11	2057	17	173	0	0	0	0
20082D-01-04_S10.metabat.41	o__Cytophagales (UID2936)	47	454	336	77.21	2.08	25.00	2149790	0	479	479	5327	5327	4488	4488	23534	23534	39.0	1.71	92.07	11	2156	116	330	8	0	0	0
20082D-01-04_S10.metabat.5	k__Bacteria (UID3187)	2258	190	119	75.43	0.00	0.00	1506999	0	300	300	5819	5819	5023	5023	20088	20088	42.4	1.87	90.66	11	1478	48	142	0	0	0	0
20082D-01-04_S10.metabat.6	p__Euryarchaeota (UID3)	148	188	125	75.96	0.00	0.00	1290696	0	96	96	25572	25572	13444	13444	75951	75951	38.1	1.15	94.96	11	1178	36	152	0	0	0	0
20082D-01-04_S10.metabat.9	k__Bacteria (UID2495)	2993	147	91	73.53	0.00	0.00	812589	0	67	67	24192	24192	12128	12128	72225	72225	32.6	1.43	96.44	11	855	26	121	0	0	0	0
20082D-01-05_S0.metabat.10	p__Bacteroidetes (UID2591)	364	302	202	95.13	1.44	0.00	6429179	0	621	621	14278	14278	10352	10352	57813	57813	35.4	1.21	87.07	11	5217	23	274	5	0	0	0
20082D-01-05_S0.metabat.12	c__Gammaproteobacteria (UID4267)	119	541	283	97.53	0.47	0.00	2905858	0	26	26	180167	180167	111763	111763	355904	355904	45.4	0.87	91.84	11	2776	63	473	5	0	0	0
20082D-01-05_S0.metabat.15	f__Flavobacteriaceae (UID2845)	53	548	298	79.41	0.91	50.00	1990535	0	173	173	15517	15517	11505	11505	41975	41975	31.5	1.29	89.98	11	1805	154	390	4	0	0	0
20082D-01-05_S0.metabat.16	c__Gammaproteobacteria (UID4267)	119	544	284	97.16	1.82	14.29	2956213	0	75	75	57238	57238	39416	39416	153438	153438	50.6	0.99	92.06	11	2755	11	526	7	0	0	0
20082D-01-05_S0.metabat.17	f__Rhodobacteraceae (UID3360)	56	582	313	71.36	3.89	41.18	2841068	0	698	698	4991	4991	4070	4070	37370	37370	55.7	1.93	92.18	11	3420	180	385	17	0	0	0
20082D-01-05_S0.metabat.18	f__Rhodobacteraceae (UID3356)	67	617	330	93.55	3.37	9.52	3125258	0	139	139	36691	36691	22483	22483	143334	143334	60.5	1.23	92.43	11	3164	71	525	21	0	0	0
20082D-01-05_S0.metabat.2	f__Rhodobacteraceae (UID3360)	56	582	313	93.92	4.80	34.48	4292977	0	185	185	40041	40041	23205	23205	147255	147255	57.8	1.70	91.48	11	4283	43	510	29	0	0	0
20082D-01-05_S0.metabat.20	p__Proteobacteria (UID3880)	1495	261	164	86.21	1.22	0.00	2922898	0	373	373	11920	11920	7836	7836	61524	61524	34.8	1.80	92.36	11	2724	56	190	15	0	0	0
20082D-01-05_S0.metabat.22	c__Gammaproteobacteria (UID4274)	112	581	290	96.67	2.36	11.11	2372120	0	94	94	49096	49096	25235	25235	159256	159256	41.6	1.59	93.43	11	2388	19	555	6	1	0	0
20082D-01-05_S0.metabat.24	c__Gammaproteobacteria (UID4761)	52	693	297	95.34	0.97	28.57	4049455	0	213	213	34243	34243	19011	19011	144160	144160	37.6	1.47	86.05	11	3525	31	655	7	0	0	0
20082D-01-05_S0.metabat.26	s__algicola (UID2846)	47	571	303	98.81	0.60	0.00	4394958	0	82	82	153908	153908	53597	53597	410757	410757	33.9	1.26	91.98	11	3952	10	556	5	0	0	0
20082D-01-05_S0.metabat.27	k__Bacteria (UID203)	5449	104	58	75.39	8.13	27.78	3013878	0	671	671	5295	5295	4491	4491	39207	39207	56.6	2.07	91.74	11	3527	30	56	18	0	0	0
20082D-01-05_S0.metabat.28	k__Bacteria (UID2569)	434	278	186	100.00	0.54	0.00	2992630	0	40	40	179390	179390	74815	74815	325473	325473	36.4	1.00	93.39	11	2660	0	277	1	0	0	0
20082D-01-05_S0.metabat.30	o__Oceanospirillales (UID4446)	43	529	233	58.24	2.55	20.00	1232417	0	403	403	3106	3106	3058	3058	11050	11050	45.3	1.52	91.34	11	1476	228	291	10	0	0	0
20082D-01-05_S0.metabat.34	k__Bacteria (UID2569)	434	277	185	92.43	1.10	100.00	4698382	0	685	685	9728	9728	6858	6858	52192	52192	39.8	1.09	92.84	11	4460	16	258	3	0	0	0
20082D-01-05_S0.metabat.36	c__Gammaproteobacteria (UID4444)	263	507	232	74.92	1.28	57.14	2692409	0	457	457	7876	7876	5891	5891	28753	28753	49.6	1.96	90.89	11	2800	135	365	7	0	0	0
20082D-01-05_S0.metabat.5	f__Rhodobacteraceae (UID3361)	46	654	332	98.02	2.61	21.43	4232861	0	352	352	19411	19411	12025	12025	92250	92250	61.0	2.09	90.78	11	4345	16	624	14	0	0	0
20082D-01-05_S0.metabat.7	f__Rhodobacteraceae (UID3360)	56	582	313	86.19	4.63	40.00	4787080	0	792	792	8162	8162	6044	6044	43097	43097	57.0	2.52	90.85	11	5272	106	453	22	1	0	0
20082D-01-05_S0.metabat.8	k__Bacteria (UID203)	5449	104	58	59.31	1.72	100.00	1644071	0	368	368	5527	5527	4467	4467	22909	22909	38.8	1.51	91.30	11	1787	63	40	1	0	0	0
